Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
F,10001-+,Tlx Adv EP Sec w/ Fnsc(SG) 2W UPG 1:1 TE,TRXHX2WSGE-DA,Call For Quote,TRXHX2WSGE-DA-FA,
,Upgrade Subscription Offering - 1 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Fnsc(SG) 1W UPG 1:1 TE,TRXHX1WSGE-DA,Call For Quote,TRXHX1WSGE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Fnsc(SG) 1W UPG 1:1 TE,TRXHX1WSGE-DA,Call For Quote,TRXHX1WSGE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Fnsc(SG) 1W UPG 1:1 TE,TRXHX1WSGE-DA,Call For Quote,TRXHX1WSGE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Fnsc(SG) 1W UPG 1:1 TE,TRXHX1WSGE-DA,Call For Quote,TRXHX1WSGE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Fnsc(SG) 1W UPG 1:1 TE,TRXHX1WSGE-DA,Call For Quote,TRXHX1WSGE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Fnsc(SG) 1W UPG 1:1 TE,TRXHX1WSGE-DA,Call For Quote,TRXHX1WSGE-DA-FA,
,Upgrade Subscription Offering - Offline,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Fnsc(SG) OF UPG 1:1 TE,TRXHXOFSGE-DA,Call For Quote,TRXHXOFSGE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Fnsc(SG) OF UPG 1:1 TE,TRXHXOFSGE-DA,Call For Quote,TRXHXOFSGE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Fnsc(SG) OF UPG 1:1 TE,TRXHXOFSGE-DA,Call For Quote,TRXHXOFSGE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Fnsc(SG) OF UPG 1:1 TE,TRXHXOFSGE-DA,Call For Quote,TRXHXOFSGE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Fnsc(SG) OF UPG 1:1 TE,TRXHXOFSGE-DA,Call For Quote,TRXHXOFSGE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Fnsc(SG) OF UPG 1:1 TE,TRXHXOFSGE-DA,Call For Quote,TRXHXOFSGE-DA-FA,
,Helix (SaaS),,,,,
XDR-SG,"Helix Connect (Singapore Data Center)
LICENSE: License per User.
DELIVERABLE: Software as a Service (SaaS) with activation email.
MANAGEMENT: Helix Connect
CONTENT: Helix Connect, a cloud-hosted security operations and XDR platform with alert correlation, threat hunting (search), and SOAR capabilities. Data (event) ingestion of up to 100MB per user per month. Purchase of the Open XDR add-on is required for data ingestion exceeding the per user entitlement. Data is stored and searchable for 90 days. Purchase of XDR Retention add-on required to extend retention beyond 90 days.
RESTRICTIONS: Minimum 100 users.  For further exceptions, please refer to the Quoting Handbook.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-250,Helix Connect (SG) 1:1TE,XDRSGE-AA,Call For Quote,XDRSGE-AA-AA,
B,251-1000,Helix Connect (SG) 1:1TE,XDRSGE-AA,Call For Quote,XDRSGE-AA-BA,
C,1001-2000,Helix Connect (SG) 1:1TE,XDRSGE-AA,Call For Quote,XDRSGE-AA-CA,
D,2001-5000,Helix Connect (SG) 1:1TE,XDRSGE-AA,Call For Quote,XDRSGE-AA-DA,
E,5001-10000,Helix Connect (SG) 1:1TE,XDRSGE-AA,Call For Quote,XDRSGE-AA-EA,
F,10001-+,Helix Connect (SG) 1:1TE,XDRSGE-AA,Call For Quote,XDRSGE-AA-FA,
