Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
A,10000-10000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,1.85,IVXPJPE-AAAA,
B,10001-30000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,1.48,IVXPJPE-AABA,
C,30001-60000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,1.33,IVXPJPE-AACA,
D,60001-120000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,1.2,IVXPJPE-AADA,
E,120001-240000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,1.08,IVXPJPE-AAEA,
F,240001-600000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,0.96,IVXPJPE-AAFA,
G,600001-1200000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,0.86,IVXPJPE-AAGA,
H,1200001-2400000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,0.8,IVXPJPE-AAHA,
I,2400001-6000000,IVX Ent Cloud (Yrl Sub Pk)(JP) 1:1TE,IVXPJPE-AA,0.71,IVXPJPE-AAIA,
,Protection and EDR (SaaS & On-Premise),,,,,
TRXHX-AU,"Trellix Advanced Endpoint Security with Forensics (Australia Data Center)
LICENSE: Per User
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment. IaaS in AWS for Trellix Endpoint Security (HX)
MANAGEMENT:  ePO - SaaS, ePO - On-prem, ePO - IaaS, Endpoint Security (HX)- Cloud HX, Endpoint Security (HX) – vHX, Threat Intelligence Exchange (TIE), Threat Intelligence Exchange - SaaS and Data Exchange Layer (DXL).
FEATURES INCLUDED: Unified Trellix EDR with Forensics (EDRF) client combines Trellix Endpoint Security HX and Trellix EDR traces, offering comprehensive detection, investigation, forensics, and response for Windows, macOS, and Linux platforms for on-prem environments, Protection for Native Security, Endpoint Security for Windows, macOS, and Linux Platforms, Device Control, Command Line Scanner, Application Control for PCs, Trellix Insights for profiling ""Top Attacks"" with guidance to improve protection, and access to deploy Strategic Innovation Alliance (SIA) partner products. HX Controller deployment options include HW, HW DMZ, Virtual Appliance (VA), VA DMZ and Cloud. Up to 10 VA for HX  included in the subscription cost but must be quoted separately. HW appliance and Cloud HX deployment SKUs need to be purchased separately. Quotes and Orders must additionally include the required number of deployment option physical/virtual appliances if required by customer - for corresponding appliance activation keys.
RESTRICTIONS: Limited to a maximum of 5 devices per User. ePO - SaaS does not support all product features. Refer to specific product documentation for the latest compatibility with ePO - SaaS. This entitlement includes ePO - SaaS Cloud tenancy located in Australia data center only. EDR Cloud Capabilities are not part of the offering. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Subscription Offering - 2 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics(AU) 2W 1:1TE,TRXHX2WAUE-AA,271.99,TRXHX2WAUE-AA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics(AU) 2W 1:1TE,TRXHX2WAUE-AA,243.85,TRXHX2WAUE-AA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics(AU) 2W 1:1TE,TRXHX2WAUE-AA,215.7,TRXHX2WAUE-AA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics(AU) 2W 1:1TE,TRXHX2WAUE-AA,187.58,TRXHX2WAUE-AA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Frnsics(AU) 2W 1:1TE,TRXHX2WAUE-AA,178.19,TRXHX2WAUE-AA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics(AU) 2W 1:1TE,TRXHX2WAUE-AA,168.82,TRXHX2WAUE-AA-FA,
,Subscription Offering - 1 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics(AU) 1W 1:1TE,TRXHX1WAUE-AA,299.18,TRXHX1WAUE-AA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics(AU) 1W 1:1TE,TRXHX1WAUE-AA,268.25,TRXHX1WAUE-AA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics(AU) 1W 1:1TE,TRXHX1WAUE-AA,237.28,TRXHX1WAUE-AA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics(AU) 1W 1:1TE,TRXHX1WAUE-AA,206.33,TRXHX1WAUE-AA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Frnsics(AU) 1W 1:1TE,TRXHX1WAUE-AA,196,TRXHX1WAUE-AA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics(AU) 1W 1:1TE,TRXHX1WAUE-AA,185.7,TRXHX1WAUE-AA-FA,
,Subscription Offering - Offline,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics(AU) OF 1:1TE,TRXHXOFAUE-AA,312.79,TRXHXOFAUE-AA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics(AU) OF 1:1TE,TRXHXOFAUE-AA,280.44,TRXHXOFAUE-AA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics(AU) OF 1:1TE,TRXHXOFAUE-AA,248.07,TRXHXOFAUE-AA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics(AU) OF 1:1TE,TRXHXOFAUE-AA,215.7,TRXHXOFAUE-AA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Frnsics(AU) OF 1:1TE,TRXHXOFAUE-AA,204.91,TRXHXOFAUE-AA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics(AU) OF 1:1TE,TRXHXOFAUE-AA,194.13,TRXHXOFAUE-AA-FA,
TRXHXU-AU,"Trellix Advanced Endpoint Security with Forensics - Upgrade (Australia Data Center)
LICENSE: Per User
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment. IaaS in AWS for Trellix Endpoint Security (HX)
MANAGEMENT:  ePO - SaaS, ePO - On-prem, ePO - IaaS, Endpoint Security (HX)- Cloud HX, Endpoint Security (HX) – vHX, Threat Intelligence Exchange (TIE), Threat Intelligence Exchange - SaaS and Data Exchange Layer (DXL).
FEATURES INCLUDED: Unified Trellix EDR with Forensics (EDRF) client combines Trellix Endpoint Security HX and Trellix EDR traces, offering comprehensive detection, investigation, forensics, and response for Windows, macOS, and Linux platforms for on-prem environments, Protection for Native Security, Endpoint Security for Windows, macOS, and Linux Platforms, Device Control, Command Line Scanner, Application Control for PCs, Trellix Insights for profiling ""Top Attacks"" with guidance to improve protection, and access to deploy Strategic Innovation Alliance (SIA) partner products. HX Controller deployment options include HW, HW DMZ, Virtual Appliance (VA), VA DMZ and Cloud. Up to 10 VA for HX  included in the subscription cost but must be quoted separately. HW appliance and Cloud HX deployment SKUs need to be purchased separately. Quotes and Orders must additionally include the required number of deployment option physical/virtual appliances if required by customer - for corresponding appliance activation keys.
RESTRICTIONS: Limited to a maximum of 5 devices per User. ePO - SaaS does not support all product features. Refer to specific product documentation for the latest compatibility with ePO - SaaS. This entitlement includes ePO - SaaS Cloud tenancy located in Australia data center only. EDR Cloud Capabilities are not part of the offering. For further exceptions, please refer to the Quoting Handbook. .",,,,,
,Upgrade Subscription Offering - 2 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Fnsc(AU) 2W UPG 1:1 TE,TRXHX2WAUE-DA,271.99,TRXHX2WAUE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Fnsc(AU) 2W UPG 1:1 TE,TRXHX2WAUE-DA,243.85,TRXHX2WAUE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Fnsc(AU) 2W UPG 1:1 TE,TRXHX2WAUE-DA,215.7,TRXHX2WAUE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Fnsc(AU) 2W UPG 1:1 TE,TRXHX2WAUE-DA,187.58,TRXHX2WAUE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Fnsc(AU) 2W UPG 1:1 TE,TRXHX2WAUE-DA,178.19,TRXHX2WAUE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Fnsc(AU) 2W UPG 1:1 TE,TRXHX2WAUE-DA,168.82,TRXHX2WAUE-DA-FA,
,Upgrade Subscription Offering - 1 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Fnsc(AU) 1W UPG 1:1 TE,TRXHX1WAUE-DA,299.18,TRXHX1WAUE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Fnsc(AU) 1W UPG 1:1 TE,TRXHX1WAUE-DA,268.25,TRXHX1WAUE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Fnsc(AU) 1W UPG 1:1 TE,TRXHX1WAUE-DA,237.28,TRXHX1WAUE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Fnsc(AU) 1W UPG 1:1 TE,TRXHX1WAUE-DA,206.33,TRXHX1WAUE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Fnsc(AU) 1W UPG 1:1 TE,TRXHX1WAUE-DA,196,TRXHX1WAUE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Fnsc(AU) 1W UPG 1:1 TE,TRXHX1WAUE-DA,185.7,TRXHX1WAUE-DA-FA,
,Upgrade Subscription Offering - Offline,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Fnsc(AU) OF UPG 1:1 TE,TRXHXOFAUE-DA,312.79,TRXHXOFAUE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Fnsc(AU) OF UPG 1:1 TE,TRXHXOFAUE-DA,280.44,TRXHXOFAUE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Fnsc(AU) OF UPG 1:1 TE,TRXHXOFAUE-DA,248.07,TRXHXOFAUE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Fnsc(AU) OF UPG 1:1 TE,TRXHXOFAUE-DA,215.7,TRXHXOFAUE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Fnsc(AU) OF UPG 1:1 TE,TRXHXOFAUE-DA,204.91,TRXHXOFAUE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Fnsc(AU) OF UPG 1:1 TE,TRXHXOFAUE-DA,194.13,TRXHXOFAUE-DA-FA,
