Unnamed: 0,Unnamed: 1,Unnamed: 2
,TRXE1U-DE,Trellix Endpoint Security Suite - Upgrade (Germany Data Center)
,SS4-DE,Trellix Secure Schools Endpoint Security Suite  (Germany Data Center)
,SS4U-DE,Trellix Secure Schools Endpoint Security Suite - UPGRADE  (Germany Data Center)
,MV6-DE,Trellix Protect Plus EDR for Endpoint (Germany Data Center)
,MV6U-DE,Trellix Protect Plus EDR for Endpoint - Upgrade (Germany Data Center)
,EDREX-DE,Trellix EDR Data Extension Add-on (Germany Data Center)
,EDREX180-DE,Trellix EDR Data Extension Add-on 180 Days (Germany Data Center)
,EDREX180-U-DE,Trellix EDR Data Extension Add-on 180 Days - Upgarde (Germany Data Center)
,EDR-WISE-DE,Trellix Wise for EDR Add-on (Germany Data Center)
,,Protection and EDR (SaaS & On-Premise) - With MDR
,TRXE1M1-DE,Trellix Endpoint Security Suite (Germany Data Center) + Managed Detection & Response
,TRXE1M1U-DE,Trellix Endpoint Security Suite - Upgrade (Germany Data Center) + Managed Detection & Response
,,EDR (SaaS & On-Premise)
,MV4-DE,Trellix EDR (Germany Data Center)
,MV4U-DE,Trellix EDR - Upgrade (Germany Data Center)
,,Helix (SaaS)
,XDR-DE,Helix Connect (Germany Data Center)
,OXDR-50GB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 50 GB (Germany Data Center)
,OXDR-100GB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 100 GB (Germany Data Center)
,OXDR-250GB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 250 GB (Germany Data Center)
,OXDR-1TB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 1 TB (Germany Data Center)
,OXDR-50GB-10M-DE-ADDON,Helix Connect XDR Retention 10 Months Add-On - 50 GB (Germany Data Center)
,OXDR-100GB-10M-DE-ADDON,Helix Connect XDR Retention 10 Months Add-On - 100 GB (Germany Data Center)
,OXDR-250GB-10M-DE-ADDON,Helix Connect XDR Retention 10 Months Add-On - 250 GB (Germany Data Center)
,OXDR-1TB-10M-DE-ADDON,Helix Connect XDR Retention 10 Months Add-On - 1 TB (Germany Data Center)
,OXDRCS-2YR-50GB-ADDON-DE,Helix Connect 2 Year Cold Storage - 50 GB (Germany Data Center)
,OXDRCS-2YR-100GB-ADDON-DE,Helix Connect 2 Year Cold Storage - 100 GB (Germany Data Center)
,OXDRCS-2YR-250GB-ADDON-DE,Helix Connect 2 Year Cold Storage - 250 GB (Germany Data Center)
,OXDRCS-2YR-1TB-ADDON-DE,Helix Connect 2 Year Cold Storage - 1 TB (Germany Data Center)
,OXDRCS-3YR-50GB-ADDON-DE,Helix Connect 3 Year Cold Storage - 50 GB (Germany Data Center)
,OXDRCS-3YR-100GB-ADDON-DE,Helix Connect 3 Year Cold Storage - 100 GB (Germany Data Center)
,OXDRCS-3YR-250GB-ADDON-DE,Helix Connect 3 Year Cold Storage - 250 GB (Germany Data Center)
,OXDRCS-3YR-1TB-ADDON-DE,Helix Connect 3 Year Cold Storage - 1 TB (Germany Data Center)
,XDRQS8-50GB-ADDON-DE,Helix Connect 8 Day Index Search Retention - 50 GB (Germany Data Center)
,XDRQS8-100GB-ADDON-DE,Helix Connect 8 Day Index Search Retention - 100 GB (Germany Data Center)
,XDRQS8-250GB-ADDON-DE,Helix Connect 8 Day Index Search Retention - 250 GB (Germany Data Center)
,XDRQS8-1TB-ADDON-DE,Helix Connect 8 Day Index Search Retention - 1 TB (Germany Data Center)
,XDRQS16-50GB-ADDON-DE,Helix Connect 16 Day Index Search Retention - 50 GB (Germany Data Center)
,XDRQS16-100GB-ADDON-DE,Helix Connect 16 Day Index Search Retention - 100 GB (Germany Data Center)
,XDRQS16-250GB-ADDON-DE,Helix Connect 16 Day Index Search Retention - 250 GB (Germany Data Center)
,XDRQS16-1TB-ADDON-DE,Helix Connect 16 Day Index Search Retention - 1 TB (Germany Data Center)
,,Protection (SaaS & On-Premise)
,MV1-DE,Trellix Protect Standard (Germany Data Center)
,MV1U-DE,Trellix Protect Standard - Upgrade (Germany Data Center)
,MV2-DE,Trellix Protect Plus (Germany Data Center)
,MV2U-DE,Trellix Protect Plus - Upgrade (Germany Data Center)
,MV3-DE,Trellix Mobile Security Advanced (Germany Data Center)
,VPC-DE,Trellix Mobile Security Advanced - Public Cloud VPC (European Data Center)
,SS1-DE,Trellix Secure Schools Protect Standard - (Germany Data Center)
,SS2-DE,Trellix Secure Schools Protect Plus (Germany Data Center)
,SS3-DE,Trellix Secure Schools Protect Standard with EDR for Endpoint (Germany Data Center)
,,File & Application Control
,ACD-S-DE,Trellix Application Control for PCs - Subscription (Germany Data Center)
,,Endpoint Cloud Deploy Options
,HXCL-DE-T,HX Cloud Hosting Endpoint - Large (Germany Data Center)(T)
,HXCM-DE-T,HX Cloud Hosting Endpoint - Medium (Germany Data Center)(T)
,HXGCL-DE-T,HX Cloud Hosting Endpoint - GCP - Large (Germany Data Center)(T)
,HXGCM-DE-T,HX Cloud Hosting Endpoint - GCP - Medium (Germany Data Center)(T)
,,Cloud Workload Security EDR
,CWSDR-DE,Trellix Cloud Workload Security Detect and Respond (Germany Data Center)
,CWSDRU-DE,Trellix Cloud Workload Security Detect and Respond - Upgrade (Germany Data Center)
,,
,Trellix JP_ AU Data Centers,
,,Email Security
,EMCL-JP,Email Security Cloud Edition (Tokyo Data Center)
,EMCA-JP,Email Security Cloud AntiVirus/AntiSpam Edition (Tokyo Data Center)
,EMCAU-JP,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade (Tokyo Data Center)
,TPS-JP,Trellix Phishing Simulator (Tokyo Data Center)
,EMCLVX-JP,Email Security for Office 365 (Tokyo Data Center)
,,IVX Enterprise Cloud
,IVX-JP,IVX Enterprise Cloud (Tokyo Data Center)
,IVX-JP-BP,IVX Enterprise Cloud -Banded Submission Pack (Tokyo Data Center)
,,Protection and EDR (SaaS & On-Premise)
,TRXHX-AU,Trellix Advanced Endpoint Security with Forensics (Australia Data Center)
,TRXHXU-AU,Trellix Advanced Endpoint Security with Forensics - Upgrade (Australia Data Center)
,TRXE1-AU,Trellix Endpoint Security Suite (Australia Data Center)
,TRXE1U-AU,Trellix Endpoint Security Suite - Upgrade (Australia Data Center)
,MV6-AU,Trellix Protect Plus EDR for Endpoint (Australia Data Center)
,MV6U-AU,Trellix Protect Plus EDR for Endpoint - Upgrade (Australia Data Center)
,EDREX-AU,Trellix EDR Data Extension Add-on (Australia Data Center)
,EDREX180-AU,Trellix EDR Data Extension Add-on 180 Days (Australia Data Center)
,EDREX180-U-AU,Trellix EDR Data Extension Add-on 180 Days - Upgarde (Australia Data Center)
,EDR-WISE-AU,Trellix Wise for EDR Add-on (Australia Data Center)
,,Protection and EDR (SaaS & On-Premise) - With MDR
,TRXE1M1-AU,Trellix Endpoint Security Suite (Australia Data Center) + Managed Detection & Response
,TRXE1M1U-AU,Trellix Endpoint Security Suite - Upgrade (Australia Data Center) + Managed Detection & Response
