Channel SKU,Part. No.,Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency
ACDSGE-AA-AA,ACDSGE-AA,Trellix SG Data Center,File & Application Control,ACD-S-SG,Trellix Application Control for PCs - Subscription (Singapore Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,5,250,Trellix App Control PCs (SG) 1:1TE,Call For Quote,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDSGE-AA-BA,ACDSGE-AA,Trellix SG Data Center,File & Application Control,ACD-S-SG,Trellix Application Control for PCs - Subscription (Singapore Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Trellix App Control PCs (SG) 1:1TE,Call For Quote,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDSGE-AA-CA,ACDSGE-AA,Trellix SG Data Center,File & Application Control,ACD-S-SG,Trellix Application Control for PCs - Subscription (Singapore Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Trellix App Control PCs (SG) 1:1TE,Call For Quote,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDSGE-AA-DA,ACDSGE-AA,Trellix SG Data Center,File & Application Control,ACD-S-SG,Trellix Application Control for PCs - Subscription (Singapore Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix App Control PCs (SG) 1:1TE,Call For Quote,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDSGE-AA-EA,ACDSGE-AA,Trellix SG Data Center,File & Application Control,ACD-S-SG,Trellix Application Control for PCs - Subscription (Singapore Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Trellix App Control PCs (SG) 1:1TE,Call For Quote,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDSGE-AA-FA,ACDSGE-AA,Trellix SG Data Center,File & Application Control,ACD-S-SG,Trellix Application Control for PCs - Subscription (Singapore Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Trellix App Control PCs (SG) 1:1TE,Call For Quote,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT02WECE-AA-AA,NDRT02WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,2 Way Offering,1yr Subscription with 1yr Thrive Essential,A,1,10,NDR Essentials Ed 2W 1:1TE(T),194934.41,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT02WECE-AA-BA,NDRT02WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,2 Way Offering,1yr Subscription with 1yr Thrive Essential,B,11,20,NDR Essentials Ed 2W 1:1TE(T),177213.1,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT02WECE-AA-CA,NDRT02WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,2 Way Offering,1yr Subscription with 1yr Thrive Essential,C,21,50,NDR Essentials Ed 2W 1:1TE(T),159491.79,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT02WECE-AA-DA,NDRT02WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,2 Way Offering,1yr Subscription with 1yr Thrive Essential,D,51,100,NDR Essentials Ed 2W 1:1TE(T),143542.61,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT02WECE-AA-EA,NDRT02WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,2 Way Offering,1yr Subscription with 1yr Thrive Essential,E,101,+,NDR Essentials Ed 2W 1:1TE(T),129188.34,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT01WECE-AA-AA,NDRT01WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,1 Way Offering,1yr Subscription with 1yr Thrive Essential,A,1,10,NDR Essentials Ed 1W 1:1TE(T),224174.57,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT01WECE-AA-BA,NDRT01WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,1 Way Offering,1yr Subscription with 1yr Thrive Essential,B,11,20,NDR Essentials Ed 1W 1:1TE(T),203795.07,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT01WECE-AA-CA,NDRT01WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,1 Way Offering,1yr Subscription with 1yr Thrive Essential,C,21,50,NDR Essentials Ed 1W 1:1TE(T),183415.56,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT01WECE-AA-DA,NDRT01WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,1 Way Offering,1yr Subscription with 1yr Thrive Essential,D,51,100,NDR Essentials Ed 1W 1:1TE(T),165074.01,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT01WECE-AA-EA,NDRT01WECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,1 Way Offering,1yr Subscription with 1yr Thrive Essential,E,101,+,NDR Essentials Ed 1W 1:1TE(T),148566.6,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT0OFECE-AA-AA,NDRT0OFECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,Offline Offering,1yr Subscription with 1yr Thrive Essential,A,1,10,NDR Essentials Ed OF 1:1TE(T),233921.29,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT0OFECE-AA-BA,NDRT0OFECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,Offline Offering,1yr Subscription with 1yr Thrive Essential,B,11,20,NDR Essentials Ed OF 1:1TE(T),212655.72,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT0OFECE-AA-CA,NDRT0OFECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,Offline Offering,1yr Subscription with 1yr Thrive Essential,C,21,50,NDR Essentials Ed OF 1:1TE(T),191390.15,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT0OFECE-AA-DA,NDRT0OFECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,Offline Offering,1yr Subscription with 1yr Thrive Essential,D,51,100,NDR Essentials Ed OF 1:1TE(T),172251.13,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
NDRT0OFECE-AA-EA,NDRT0OFECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,Offline Offering,1yr Subscription with 1yr Thrive Essential,E,101,+,NDR Essentials Ed OF 1:1TE(T),155026.01,Yes, , ,No,Standard,No,No,No,Yes,04/30/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
EX3100CXE-AT-AA,EX3100CXE-AT,Trellix Legacy,Legacy - Advanced Threat Defense (IVX Transitioned),EX3100,Trellix Email Security Server on Trellix Intelligent Sandbox 3100,Standard Offering,Perpetual Software License,A,1,+,EM Sec Server SW for 3100 PERP LIC(T),0,Yes, , ,No,Standard,No,No,No,Yes, ,12/31/2025, , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
EX3200CXE-AT-AA,EX3200CXE-AT,Trellix Legacy,Legacy - Advanced Threat Defense (IVX Transitioned),EX3200,Trellix Email Security Server on Trellix Intelligent Sandbox 3200,Standard Offering,Perpetual Software License,A,1,+,EM Sec Server SW for 3200 PERP LIC(T),0,Yes, , ,No,Standard,No,No,No,Yes, ,06/30/2028, , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
EX6100CXE-AT-AA,EX6100CXE-AT,Trellix Legacy,Legacy - Advanced Threat Defense (IVX Transitioned),EX6100,Trellix Email Security Server on Trellix Intelligent Sandbox 6100,Standard Offering,Perpetual Software License,A,1,+,EM Sec Server SW for 6100 PERP LIC(T),0,Yes, , ,No,Standard,No,No,No,Yes, ,12/31/2025, , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
EX6200CXE-AT-AA,EX6200CXE-AT,Trellix Legacy,Legacy - Advanced Threat Defense (IVX Transitioned),EX6200,Trellix Email Security Server on Trellix Intelligent Sandbox 6200,Standard Offering,Perpetual Software License,A,1,+,EM Sec Server SW for 6200 PERP LIC(T),0,Yes, , ,No,Standard,No,No,No,Yes, ,06/30/2028, , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
