Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
J,10001-+,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,316.96,CWEECE-AB-JA,
CWSEU-S,"Trellix Cloud Workload Security Essentials - Transition Subscription
LICENSE: Per OS Instance.
DELIVERABLE: Download.
PRODUCT CONTENT: For existing Data Centre customers converting from existing 'perpetual' license and support, or from a lesser Subscription product, to the CWS Essentials Subscription. Also for existing Endpoint  Security Suite customer converting an existing 'node' license  used on a server to a CWS Essentials 'server' subscription.  For further information please refer to the Quoting Product Requirements Handbook.",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,689.02,CWEECE-DB-AA,
B,26-50,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,585.68,CWEECE-DB-BA,
C,51-100,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,523.64,CWEECE-DB-CA,
D,101-250,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,468.53,CWEECE-DB-DA,
E,251-500,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,447.87,CWEECE-DB-EA,
F,501-1000,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,420.3,CWEECE-DB-FA,
G,1001-2000,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,392.74,CWEECE-DB-GA,
H,2001-5000,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,358.3,CWEECE-DB-HA,
I,5001-10000,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,337.61,CWEECE-DB-IA,
J,10001-+,CloudWorkloadSecEssl UPGD1:1TE [P+],CWEECE-DB,316.96,CWEECE-DB-JA,
CWSA,"Trellix Cloud Workload Security - Advanced
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT: ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT: Cloud Workload Security for hybrid cloud (VMware, OpenStack, Citrix Xen, Hyper-V, AWS and Azure), Endpoint Security for Servers, Endpoint Security Firewall Module, Endpoint Security for Linux, Threat Intelligence Exchange (TIE), MOVE Enterprise  (includes: MOVE AV Agentless and Multi-Platform), Network Visibility and Micro-Segmentation based firewall, Application Control for Servers, Change Control for Servers.",,,,,
,Standard Offering,,,,,
,ProtectPLUS Perpetual License with 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,2548.11,CWACDE-AB-AA,
B,26-50,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,2165.87,CWACDE-AB-BA,
C,51-100,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1936.55,CWACDE-AB-CA,
D,101-250,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1732.71,CWACDE-AB-DA,
E,251-500,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1656.28,CWACDE-AB-EA,
F,501-1000,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1554.34,CWACDE-AB-FA,
G,1001-2000,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1452.42,CWACDE-AB-GA,
H,2001-5000,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1325.04,CWACDE-AB-HA,
I,5001-10000,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1248.57,CWACDE-AB-IA,
J,10001-+,Cloud Workload Sec Adv P:1TE[P+],CWACDE-AB,1172.12,CWACDE-AB-JA,
,ProtectPLUS 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,1121.16,CWAYFM-AB-AA,
B,26-50,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,952.98,CWAYFM-AB-BA,
C,51-100,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,852.08,CWAYFM-AB-CA,
D,101-250,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,762.39,CWAYFM-AB-DA,
E,251-500,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,728.75,CWAYFM-AB-EA,
F,501-1000,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,683.92,CWAYFM-AB-FA,
G,1001-2000,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,639.06,CWAYFM-AB-GA,
H,2001-5000,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,582.99,CWAYFM-AB-HA,
I,5001-10000,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,549.36,CWAYFM-AB-IA,
J,10001-+,Cloud Workload Sec Adv 1YrTE[P+],CWAYFM-AB,515.75,CWAYFM-AB-JA,
CWSA-S,"Trellix Cloud Workload Security - Advanced Subscription
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT: ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT: Cloud Workload Security for hybrid cloud (VMware, OpenStack, Citrix Xen, Hyper-V, AWS and Azure), Endpoint Security for Servers, Endpoint Security Firewall Module, Endpoint Security for Linux, Threat Intelligence Exchange (TIE), MOVE Enterprise  (includes: MOVE AV Agentless and Multi-Platform), Network Visibility and Micro-Segmentation based firewall, Application Control for Servers, Change Control for Servers.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
