Channel SKU,Part. No.,Layer3 STUB Description_NEW,Layer3 STUB Description_OLD,Layer5_NEW,Layer5_OLD,Min_NEW,Min_OLD,Description_NEW,Description_OLD,MSRP List Price_NEW,MSRP List Price_OLD,FCS Date_NEW,FCS Date_OLD,EOS Date_NEW,EOS Date_OLD
VPC2ECE-ATAA,VPC2ECE-AT,--,--,--,--,--,--,--,--,--,--, ,2024-04-26 00:00:00,--,--
OPVAECE-ATAA,OPVAECE-AT,--,--,--,--,--,--,--,--,--,--, ,2024-04-26 00:00:00,--,--
ENSYWM-AA-AA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-BA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-CA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-DA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-EA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-FA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-GA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-HA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-IA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-JA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-AA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-BA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-CA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-DA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-EA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-FA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-GA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-HA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-IA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-JA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
HXGCLGXE-AA-AA,HXGCLGXE-AA,--,--,--,--,--,--,--,--,--,--,2025-05-02 00:00:00,2025-03-15 00:00:00,--,--
HXGCMGXE-AA-AA,HXGCMGXE-AA,--,--,--,--,--,--,--,--,--,--,2025-05-02 00:00:00,2025-03-15 00:00:00,--,--
DLP8800ANBDA,DLP8800ANBD,--,--,1yr Next Business Day Ship Hardware Support,1yr Onsite Next Business Day Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
DLP8800ASDA,DLP8800ASD,--,--,1yr Same Day 24x7 Hardware Support (CRU Only),1yr Onsite 4 Hour Same Day 24x7 Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
DLPCSABNBDA,DLPCSABNBD,--,--,1yr Next Business Day Ship Hardware Support,1yr Onsite Next Business Day Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
DLPCSABSDA,DLPCSABSD,--,--,1yr Same Day 24x7 Hardware Support (CRU Only),1yr Onsite 4 Hour Same Day 24x7 Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
EDREX180DEE-AA-AA,EDREX180DEE-AA,--,--,--,--,--,--,--,--,--,--,2025-05-31 00:00:00,2025-02-28 00:00:00,--,--
EDREX180DEE-DA-AA,EDREX180DEE-DA,--,--,--,--,--,--,--,--,--,--,2025-05-31 00:00:00,2025-02-28 00:00:00,--,--
TRXE1M12WDEE-AA-AA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,402.37,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-BA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,309.78,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-CA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,239.53,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-DA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,176.4,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-EA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,151,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-FA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,135.62,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-AA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,442.62,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-BA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,340.76,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-CA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,263.5,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-DA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,194.05,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-EA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,166.09,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-FA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,149.18,Call For Quote,2025-04-30 00:00:00, ,--,--
