Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,Part. No.,Channel SKU,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency,Product Type
Trellix Email Security,Email Security,EMCA,Email Security Cloud AntiVirus/AntiSpam Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Email Sec Cld AVAS Ed 1:1TE,EMCAECE-AA,EMCAECE-AAFA,58.99,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCAU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade,Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,100,250,Email Sec Cld AVAS Ed UPGD 1:1TE,EMCAECE-DA,EMCAECE-DAAA,158.6,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCAU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade,Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Email Sec Cld AVAS Ed UPGD 1:1TE,EMCAECE-DA,EMCAECE-DABA,112.33,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCAU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade,Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Email Sec Cld AVAS Ed UPGD 1:1TE,EMCAECE-DA,EMCAECE-DACA,92.5,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCAU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade,Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Email Sec Cld AVAS Ed UPGD 1:1TE,EMCAECE-DA,EMCAECE-DADA,73.04,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCAU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade,Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Email Sec Cld AVAS Ed UPGD 1:1TE,EMCAECE-DA,EMCAECE-DAEA,70.25,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCAU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade,Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Email Sec Cld AVAS Ed UPGD 1:1TE,EMCAECE-DA,EMCAECE-DAFA,58.99,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,100,250,Trellix Phishing Sim 1:1TE,TPSECE-AA,TPSECE-AA-AA,33.36,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Trellix Phishing Sim 1:1TE,TPSECE-AA,TPSECE-AA-BA,28.35,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Trellix Phishing Sim 1:1TE,TPSECE-AA,TPSECE-AA-CA,24.11,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix Phishing Sim 1:1TE,TPSECE-AA,TPSECE-AA-DA,21.68,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Trellix Phishing Sim 1:1TE,TPSECE-AA,TPSECE-AA-EA,19.52,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Trellix Phishing Sim 1:1TE,TPSECE-AA,TPSECE-AA-FA,17.57,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
