Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
OXDRCS-3YR-250GB-ADDON,"Helix Connect 3 Year Cold Storage - 250 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-250GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 250GB 1:1TE,XCS33ECE-AA,144154.34,XCS33ECE-AA-AA,FCS Date 03/31/2025
OXDRCS-3YR-1TB-ADDON,"Helix Connect 3 Year Cold Storage - 1 TB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-1TB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 1TB 1:1TE,XCS34ECE-AA,576617.34,XCS34ECE-AA-AA,FCS Date 03/31/2025
XDRQS8-50GB-ADDON,"Helix Connect 8 Day Index Search Retention - 50 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 8 days of event data.
RESTRICTIONS: Must already own the OXDR-50GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 8d 50GB 1:1TE,XQS81ECE-AA,18019.29,XQS81ECE-AA-AA,FCS Date 03/31/2025
XDRQS8-100GB-ADDON,"Helix Connect 8 Day Index Search Retention - 100 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 8 days of event data.
RESTRICTIONS: Must already own the OXDR-100GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 8d 100GB 1:1TE,XQS82ECE-AA,36038.58,XQS82ECE-AA-AA,FCS Date 03/31/2025
XDRQS8-250GB-ADDON,"Helix Connect 8 Day Index Search Retention - 250 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 8 days of event data.
RESTRICTIONS: Must already own the OXDR-250GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 8d 250GB 1:1TE,XQS83ECE-AA,90096.47,XQS83ECE-AA-AA,FCS Date 03/31/2025
XDRQS8-1TB-ADDON,"Helix Connect 8 Day Index Search Retention - 1 TB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 8 days of event data.
RESTRICTIONS: Must already own the OXDR-1TB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 8d 1TB 1:1TE,XQS84ECE-AA,360385.84,XQS84ECE-AA-AA,FCS Date 03/31/2025
XDRQS16-50GB-ADDON,"Helix Connect 16 Day Index Search Retention - 50 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 16 days of event data.
RESTRICTIONS: Must already own the OXDR-50GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 16d 50GB 1:1TE,XQS161ECE-AA,36038.58,XQS161ECE-AA-AA,FCS Date 03/31/2025
XDRQS16-100GB-ADDON,"Helix Connect 16 Day Index Search Retention - 100 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 16 days of event data.
RESTRICTIONS: Must already own the OXDR-100GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 16d 100GB 1:1TE,XQS162ECE-AA,72077.16,XQS162ECE-AA-AA,FCS Date 03/31/2025
XDRQS16-250GB-ADDON,"Helix Connect 16 Day Index Search Retention - 250 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 16 days of event data.
RESTRICTIONS: Must already own the OXDR-250GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 16d 250GB 1:1TE,XQS163ECE-AA,180192.92,XQS163ECE-AA-AA,FCS Date 03/31/2025
XDRQS16-1TB-ADDON,"Helix Connect 16 Day Index Search Retention - 1 TB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's Index Search feature from 3 days to 16 days of event data.
RESTRICTIONS: Must already own the OXDR-1TB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 8 and 16 Day options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Idx Search 16d 1TB 1:1TE,XQS164ECE-AA,720771.68,XQS164ECE-AA-AA,FCS Date 03/31/2025
